"";"list_1";"list_2";"list_3";"list_4";"list_5";"list_6";"list_7";"list_8";"list_9";"list_10"
"473";1;4;6;1;3;2;0;6;3;6
"474";6;7;7;8;5;6;5;2;1;2
"475";7;1;8;2;8;5;2;7;8;7
"476";4;2;3;9;1;4;4;4;9;1
"477";2;6;4;6;2;1;9;3;7;8
"478";5;5;2;3;6;7;8;8;6;5
"479";8;8;5;7;9;8;7;5;2;4
"480";7;6;4;1;6;1;9;1;9;5
"481";8;8;2;7;1;0;5;2;8;9
"482";4;5;8;4;4;6;8;5;6;2
"483";2;4;7;6;5;5;3;0;1;4
"484";1;1;0;0;2;9;4;6;2;6
"485";6;7;6;8;0;2;2;7;7;7
"486";5;2;9;9;8;4;6;9;4;8
"487";3;9;1;2;7;7;1;8;5;1
"488";1;8;4;3;9;9;2;2;7;0
"489";8;7;3;5;5;5;4;8;0;7
"490";6;0;1;6;6;1;1;1;9;4
"491";9;8;5;2;4;7;6;8;7;9
"492";4;6;7;5;5;1;8;2;1;4
"493";7;1;1;9;3;9;1;4;5;6
"494";2;4;6;1;8;5;9;9;3;1
"495";6;7;9;6;7;3;4;6;4;5
"496";1;5;8;4;9;8;5;1;8;2
"497";5;2;2;3;2;4;2;7;9;8
"498";3;9;4;8;6;6;7;5;2;7
"499";9;7;6;9;8;5;5;1;6;9
"500";1;2;3;8;3;2;4;6;1;8
"501";8;1;5;4;7;8;7;9;8;6
"502";4;4;8;3;9;7;2;4;9;4
"503";7;8;4;6;1;4;9;8;5;2
"504";2;0;9;2;6;6;1;0;2;7
"505";6;9;7;1;2;9;6;7;7;5
"506";5;5;1;5;4;1;0;2;4;1
"507";8;7;9;4;9;2;5;1;1;5
"508";4;2;8;6;1;3;4;9;9;8
"509";9;9;2;5;2;9;8;8;6;4
"510";5;3;6;7;8;6;3;4;2;7
"511";1;8;4;9;6;4;2;7;7;6
"512";2;5;1;2;4;5;6;2;4;2
"513";6;1;0;8;5;1;9;6;8;3
"514";0;6;7;1;7;8;1;3;0;1
"515";7;2;5;2;4;6;9;4;4;1
"516";2;8;6;6;2;2;1;1;5;8
"517";9;4;4;4;1;8;2;9;9;4
"518";4;6;2;7;8;1;8;3;8;5
"519";5;1;7;5;0;4;4;6;2;9
"520";1;5;9;1;6;5;7;2;6;2
"521";8;7;8;9;7;7;5;7;1;0
"522";3;9;1;8;9;9;6;8;7;6
"523";2;4;9;6;5;4;2;5;5;1
"524";9;6;4;7;7;2;7;6;6;9
"525";4;5;2;0;2;0;3;9;8;5
"526";1;6;1;4;4;2;8;5;5;9
"527";5;8;6;5;8;7;9;7;6;2
"528";2;2;5;1;5;9;6;8;9;1
"529";4;1;8;7;1;6;7;1;2;6
"530";9;7;2;6;7;5;5;4;8;7
"531";6;9;9;9;9;8;1;6;3;4
"532";7;5;7;3;2;1;4;9;4;5
"533";8;4;4;8;6;4;2;2;1;8
"534";7;8;4;8;1;3;2;8;9;8
"535";9;4;7;6;2;5;5;6;2;4
"536";5;9;3;4;8;1;1;3;1;7
"537";1;7;9;5;9;7;6;4;4;9
"538";4;1;8;2;6;9;7;2;6;2
"539";8;6;1;9;7;4;8;1;0;5
"540";6;2;5;1;4;8;4;9;7;1
"541";0;5;6;7;5;2;3;5;8;6
"542";9;3;4;1;3;5;1;9;4;9
"543";7;1;7;2;2;1;8;6;7;8
"544";5;5;0;3;4;8;6;4;2;1
"545";1;6;6;4;1;4;7;8;8;7
"546";8;7;8;7;5;6;2;7;9;2
"547";6;2;5;8;9;7;9;2;6;6
"548";3;9;9;5;6;0;5;5;5;5
"549";4;8;1;6;8;9;4;1;1;0
"550";8;6;8;6;3;8;4;2;9;5
"551";5;4;2;8;7;5;9;5;1;4
"552";4;0;7;2;2;7;6;8;8;1
"553";2;9;1;4;8;3;8;0;6;9
"554";6;8;3;7;6;9;7;4;5;6
"555";9;3;9;0;9;2;1;9;2;3
"556";1;2;5;1;1;6;5;6;3;8
"557";7;5;6;5;5;1;2;7;7;2
"558";3;8;7;9;7;8;7;2;6;8
"559";9;9;8;1;4;9;0;6;4;3
"560";8;6;4;5;0;6;2;8;7;5
"561";9;2;4;6;4;5;5;8;5;8
"562";2;7;7;9;7;9;4;2;2;9
"563";8;1;8;4;9;1;1;5;4;5
"564";1;9;2;5;5;8;9;4;1;7
"565";7;6;1;8;2;6;7;7;7;1
"566";4;5;6;2;6;2;8;1;6;6
